TRIP_ID,VEHICLE_ID
4401feb1-6553-5eea-8baf-199c489ef9ae,185-279
255b2b7e-e480-5117-920e-8f188404ccd4,068-898
adf124f1-e4a0-5277-9265-c1acd81cc99c,129-257
12428147-aa2d-5d32-b052-d6252299d722,579-009
8157fa51-0d25-5f8b-b25d-a11ac6da3c90,452-931
d17cce5b-c4fa-594d-9f33-26f1f0903dc5,052-287
8bc54d4f-e1b2-5910-b3f0-7494680eb801,989-218
77eb971c-7ff7-5ff1-9771-22ea94269add,527-774
825ad77d-6e63-5f4c-b960-69de5860986a,352-390
44b83d1d-4764-59e8-b419-b6d4d0ba2a19,218-367
d4804c4d-985e-58ca-915e-563635eeaed2,452-931
2a5c6a38-108a-552c-a7a0-086441a46b71,052-287
56d42b67-e4b7-5952-9976-3c624ebe655d,673-926
65c2d198-d690-5bec-8d6d-20864aff48a7,989-218
39a5e899-4c64-58e9-a863-ce719ead0a79,989-678
b5864cac-7870-5892-b488-055531bba258,452-931
ec638975-fa82-54c4-8009-aea5d0e4ef46,579-009
6ff5944a-32fa-5ef1-bedd-4e954b225655,712-827
ff277977-cdec-5667-8266-05eaadbe9cc6,479-036
71a280f2-9c63-558a-a608-ad293d09b412,579-009
49e64c58-64ab-5641-881d-427e43dd23cd,179-310
f1884c07-e93c-57fd-9264-0964a1fa70a7,673-926
54c2639e-41f6-576c-b293-0391f53aa55e,387-941
e3e71a98-60b8-5d90-a1b0-b694bb56fac4,479-036
34020724-cd01-5585-9a98-c242c0ba9dc9,778-967
8843e0a9-b432-5e58-be69-87c79bb0a029,989-678
802b1776-2c85-577c-9e89-60e6e21c2c21,052-287
38eeaecf-ee1c-5267-a7cc-163899d53203,270-513
246b30de-2495-56e2-b8bc-be657429d69f,439-841
aa64878f-eb0f-535e-8061-daef63f9ec0e,479-036
c883ae94-bb7d-539d-ab4b-bf399388462b,439-841
9a0af2f4-11da-50f7-8bfe-22291c71663f,843-191
b28362cc-3214-5974-90da-eacf3af10274,982-920
ae1fcf09-949a-562b-a05f-ac666c2beb0b,680-801
34282eee-f3cf-562c-8190-06d4a663fd1b,527-774
ba397cac-de71-513c-a424-6043d64a891c,673-926
a025981b-5af0-57c4-ae5a-ae6b86231297,494-776
f360288f-7c70-5310-a85f-a86d57d790f6,708-380
c82ab468-3555-586e-9343-435a439e2370,185-279
dff782ba-cd25-510f-a668-7fa20e5ff693,199-306
2d53f31d-d20c-5c31-aad5-223134f2585c,352-390
e0a50145-94f0-50fb-8ddf-70023a529e75,271-186
cd7626fe-ec23-5990-9a13-df5fb60f0701,781-999
59abd836-49eb-5d9d-88cb-b3e825543705,599-290
48b55d89-d3de-55bb-99af-aacdb4d96e45,094-773
3bda71c7-5e15-50f3-862f-c0b9d978da3b,810-126
0da8e843-e626-574a-b5cd-78e5d9c0df70,158-334
08e79a37-36e5-5166-b116-7b246e85346d,363-296
08a476b6-3121-507a-a9b6-277deca9f8e7,352-390
2bb4e216-424a-5354-af5f-d4f310041a7c,129-257
beb76745-9e66-5a3d-8adc-472097445a23,294-979
0a71861b-a778-5469-a265-6e23da15be3e,898-820
71fd6f86-66bd-55a8-9723-f2d20eb4993d,579-009
896d9960-c6e5-53f3-b573-d5b81883fe9f,548-915
fe75492e-c476-5e35-a251-b3cf9a44c710,462-966
4ef3eec3-0988-54f7-b336-0c7f88e0d88a,860-578
b825b732-44a3-54a0-8286-df35bf7ec10b,271-186
4c6f327b-fc2d-576c-b8d4-97635ab54fea,294-979
20b287a6-0eeb-517d-b5f3-dcea3b70ea0d,839-426
686a9006-8bf9-5882-8cf0-1db1ef0957ca,541-703
895a0614-4d9d-5208-b7dc-78e48d3ce234,860-578
79b8cb6f-2e50-5589-864b-d6b01023ca1f,129-257
7e51a498-7d18-556a-a1cd-c9b53ff381d8,129-257
5d00b671-6f3f-5706-a105-a8c7d9aa884c,271-186
3c276e26-9b8e-512a-8526-c33a21cb69e0,200-517
ff91f088-66e2-5692-9234-ff582b29d0af,548-915
53d55645-9f86-5d5a-bb09-340a24eeabae,654-417
b456b262-88dc-5de1-9187-1a3cf481d745,778-967
0f2a98c7-dd4a-5c68-b580-e73d054ed20f,636-520
2db996a8-afe8-5167-a9dc-f33086fbc6ba,387-941
ba57d80a-0c15-550e-8be9-c2a990e7f65a,726-682
e25ea0ef-5a60-5dee-89ac-59f2684572e4,982-920
ed4df13d-0d6f-508b-8207-a393fc6425bb,989-678
699e457c-48c6-51f8-af01-11924f254e2c,270-513
63b694d3-3c61-56b8-9c94-d88b76d8a5a1,778-967
a940d9ef-149e-5184-b70c-11282481cdc0,494-776
02d2a3f5-c242-50d3-9ca8-fac540f315e8,898-820
893743be-7ae7-5a9e-a163-8df6116fcfbc,898-820
9353700e-850c-5666-b816-fc52c17841ac,730-550
6ed59588-970f-517c-8cd7-8e3f9158206b,898-820
9b2c96c3-de7f-5b32-b23f-df875df891ed,158-334
3f8872d1-e1bb-5a47-b77c-ce9efa69d715,052-287
3cb2c850-afc7-5f14-9a99-a79ac16bd20a,352-484
68960407-cde3-5ab8-a749-8525b985a51e,345-239
5b2fd950-377e-563a-b4ed-25fc0a484200,641-429
ba16ed7a-82be-502a-a371-f25322cb3fb4,654-417
a1b140a6-6705-5ebe-9425-4d4fd6c4d622,352-484
0ae6ed8b-035a-5de4-82b4-2e09b61f3766,158-334
c55764c4-27c8-5163-b7cf-97406c11ff62,898-820
1598540d-88b2-5aab-b4d5-97d42b7e1cad,094-773
9615fff3-01b5-50da-9c54-f87d903a88c3,185-279
b154f5f4-1a6b-509a-a592-9a8d4b0d5a67,199-306
fc42f291-6ef3-5d8a-835c-3d707493e4ce,712-827
90837735-027f-5595-ae9f-191d32027d99,806-762
3a5eb2e8-3ca5-52ee-9f77-43f131e4e841,982-920
eb7b85d3-e7b2-5d5c-950f-da7dcdcda52a,094-773
0e31b318-b291-5969-8d37-307a71064023,200-517
250efba6-acad-5737-964e-1380998f8353,479-036
0b036bef-379a-55c3-847f-6a49d82694b4,109-319
7b4ed65e-e6d9-5bca-a9d2-b7c83e6bd888,052-978
abf5891d-5c1e-5ae0-a2e8-eb52e9712442,599-290
38930c77-84d3-57ae-a85a-111a695abdda,439-841
5035b234-5868-517b-bea4-3d5456d96c86,548-915
9258394d-7ee1-5d1a-a1e1-8e49c519a0c1,052-978
493c70e8-8330-5f59-83bf-38da8f243e65,541-703
66ba52cd-2c75-5e26-93fb-526e9d253580,827-746
29b95974-2d39-5569-83ed-476c720ead8a,109-319
7d07abdc-6912-5c7e-87e4-6d03347fae89,367-394
95d25558-5dc8-5985-ab08-ecb9f6bbac13,989-218
e6d25879-0c43-592b-b099-a4f75af29a42,778-967
51a7ff40-c25f-5b95-a983-a3f8310e38ce,716-808
757f51be-3c49-54be-9dc1-18f846a6f4be,599-290
c7e933f7-b21a-53fd-9f12-699f7f6308ca,452-931
bcb50658-f4d0-5898-8d37-cce63addd261,599-290
e1e1d955-54bd-5684-a1de-5e60048ed31c,599-290
66b4bfb0-82a2-5844-8234-16c3a3349d0b,579-009
bf1ec418-f68f-5604-a171-6f917ef13fb4,778-967
3ee562a4-a507-5f55-9670-a25221891880,271-186
c732f8f3-89e4-57ad-8d2f-474e5bf78f97,094-773
11058c3e-4dd1-585e-81bb-0f54a79b3ba2,294-979
4013ff48-8336-53fe-9e33-02b27a7f4b23,462-966
46969e81-1830-5917-bff0-b84b45095010,452-931
141b4417-39f2-54f0-8e7f-9ef9cb7ca6a1,730-550
f98db9a3-50a9-5ff4-ba6c-3f791c68b579,052-287
9fc210fb-839b-55b5-93e6-68340b7eeb34,810-126
73c7a9c9-9513-5293-aa8b-769cb4bed7b7,860-578
cf941d76-c0ac-5740-b687-8759338def3e,541-703
a692e25e-655b-5111-b999-69fca0c7e879,439-841
dcd9f34a-b68c-5912-9e27-0cf1b8970366,898-820
936a007d-aab8-53ed-a1be-d4ca1260f984,158-334
1ce60a73-578f-547c-b9e2-fb3346f344e9,270-513
fa7fd1e9-6436-56f3-a424-2003ba7c53f3,271-186
c3ad8573-9a66-5d69-85fd-6b66895f5b97,989-678
88405bec-0cd0-5612-a84b-84b75ed6363b,989-678
e9b7765d-3ade-5df3-872f-5f5c7c9aeda5,129-257
c062a324-d612-5547-a350-da7dd558fee0,778-967
52ab120b-187c-52aa-9018-13f2a21e722c,270-513
0e12e4df-5018-5838-bedf-1c783658e071,199-306
26cc5bfc-1a65-5368-9ebd-ecff8c4ed0f7,109-319
e37eb76e-9e0f-5168-bf33-34848268f153,712-827
c45e42a1-c40f-5014-aa84-63595f72fc60,271-186
c6e2a660-a11b-56a1-a326-902a57c540a8,397-304
091264b5-0db2-5e1e-bca7-87de62270024,860-578
63272054-3ea5-5871-a620-4baca2caa800,052-978
4c83d447-32a1-5a4c-91c7-eb140810cdb8,636-520
e0bf3100-603c-5e7c-a4ce-2c8e5c4e6e01,708-380
cab31efb-c23d-50df-b4a9-1eda894bce30,810-126
593bc565-51a7-5aa9-9610-4077445b02d8,778-967
3b06beb5-be3d-5bc1-8a34-c029bb52d4ad,599-290
07ba00bb-6aad-5899-9204-74eb573bf268,354-400
823d7930-cc36-52c7-a926-e26441a0ee7f,864-057
2d103b5b-3696-533e-b1e6-27ca0dbfb92c,680-831
743fd9fc-d667-590d-bcef-e5e50e3ac6a8,730-550
cd920f86-7322-584c-a922-aff58af00049,068-898
3625619a-f193-5ed7-944d-d9a7c45ce074,052-287
9055e4fc-d16d-5f39-9831-1a9637360746,479-036
af3832a3-dc6d-5820-b229-64adae9a40f2,778-967
768cdff0-5682-5dba-a9f5-7b04a6900f83,271-186
7537955c-8711-5e9f-b635-140a0e1aeee1,579-009
53236726-778a-55b5-9b35-eb0fe2efa397,199-306
69d4df77-eacb-556e-9eb1-6a77b615cecb,052-287
d85ae41c-8fa1-5167-996a-895244347e5d,094-773
ada95491-fd77-51f4-a9bb-54a3f8bc0ae0,654-417
1ddc0a32-07c6-5e1f-b716-036226559e5f,109-319
5e79536e-ece3-528f-b975-ca15af7d202f,452-931
06b28d9b-b3f8-5591-9958-08e508a55afc,929-224
2129a095-7102-5b90-9732-36bc0d5ee413,109-319
4dad7413-461c-50a6-beb3-cc1595738173,541-703
4ba61832-95f5-57d1-bed1-fdcce1e707cd,094-773
a02b9d5c-6a2b-5f98-bcc2-a6f3542d8a5d,839-426
9fd70a7e-9348-5b64-bb61-79855207447d,129-257
52228679-8f08-5709-81a7-3db657fd304d,989-678
65cd4238-aa6b-56fd-a8cd-225161489144,680-801
3ac8eb8b-65cb-5821-baca-1c6d2dcfd995,680-801
36e3d957-7260-5152-bba9-448bb976084e,129-257
331d0ebe-0522-521d-ad99-442972d153c8,094-773
5834f8b9-1190-5524-a098-9f7397007e33,778-967
7bc1c053-ee76-5511-bc71-e585166761da,548-915
fcbcd69f-7396-5b99-b84a-f42a7133318b,527-774
c3b2847f-85ca-502c-b8ba-e592721bcfa6,541-703
26526dc9-fd81-5db1-8f82-377946acb0db,199-306
10bfafb4-0ac6-5392-be1b-1a9d71255eef,387-941
7240b67c-a527-5486-8e29-0dd399fe20a3,579-009
7fc67916-772e-57d8-be6d-b929414f0ec2,860-578
33b5a49d-afd3-567d-93a0-880f2a3e47ae,068-898
8f3fcb4b-b232-584b-ad7d-0cb08f6334f0,218-367
7ec88861-78c4-5d23-a5b8-3f2a313a9230,158-334
3b9e4c42-1d90-5275-970c-c7ee1899acaa,548-915
063c5b32-a960-5dfa-8541-798f0849e5e4,673-926
